Node: red
Command: sudo tcpdump -nn -tttt -r '/tmp/csa-lab8-05-esp-red.pcap' 2>/dev/null
ExitCode: 0

2026-08-28 06:55:54.553437 IP 192.168.62.253 > 192.168.62.42: ICMP echo request, id 32487, seq 32487, length 8
2026-08-28 06:55:54.553474 IP 192.168.62.42 > 192.168.62.253: ICMP echo request, id 32487, seq 32487, length 8
2026-08-28 06:55:54.553488 ARP, Reply 192.168.62.253 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:54.553551 ARP, Reply 192.168.62.42 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:55.578889 ARP, Reply 192.168.62.253 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:55.578926 ARP, Reply 192.168.62.42 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:56.114961 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x17), length 136
2026-08-28 06:55:56.124336 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x17), length 136
2026-08-28 06:55:56.124808 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x15), length 136
2026-08-28 06:55:56.140436 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x15), length 136
2026-08-28 06:55:56.147217 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x18), length 104
2026-08-28 06:55:56.156452 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x18), length 104
2026-08-28 06:55:56.156955 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x16), length 104
2026-08-28 06:55:56.172327 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x16), length 104
2026-08-28 06:55:56.172759 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x19), length 104
2026-08-28 06:55:56.172844 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1a), length 184
2026-08-28 06:55:56.188368 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x19), length 104
2026-08-28 06:55:56.188465 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1a), length 184
2026-08-28 06:55:56.188789 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x17), length 104
2026-08-28 06:55:56.204277 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x18), length 1480
2026-08-28 06:55:56.204278 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x19), length 408
2026-08-28 06:55:56.204458 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x17), length 104
2026-08-28 06:55:56.204540 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x18), length 1480
2026-08-28 06:55:56.204608 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x19), length 408
2026-08-28 06:55:56.204951 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1b), length 104
2026-08-28 06:55:56.205174 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1c), length 104
2026-08-28 06:55:56.208180 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1d), length 136
2026-08-28 06:55:56.220465 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1b), length 104
2026-08-28 06:55:56.220563 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1c), length 104
2026-08-28 06:55:56.220636 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1d), length 136
2026-08-28 06:55:56.220952 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1a), length 136
2026-08-28 06:55:56.221237 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1b), length 104
2026-08-28 06:55:56.226924 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1a), length 136
2026-08-28 06:55:56.226999 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1b), length 104
2026-08-28 06:55:56.227381 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1e), length 104
2026-08-28 06:55:56.236390 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1e), length 104
2026-08-28 06:55:56.604594 ARP, Reply 192.168.62.253 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:56.604627 ARP, Reply 192.168.62.42 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:57.210598 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1f), length 136
2026-08-28 06:55:57.212624 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x1f), length 136
2026-08-28 06:55:57.212939 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1c), length 136
2026-08-28 06:55:57.228582 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1c), length 136
2026-08-28 06:55:57.628835 ARP, Reply 192.168.62.253 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:57.628922 ARP, Reply 192.168.62.42 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:58.212947 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x20), length 136
2026-08-28 06:55:58.223698 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x20), length 136
2026-08-28 06:55:58.223946 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1d), length 136
2026-08-28 06:55:58.239718 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1d), length 136
2026-08-28 06:55:58.490198 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1e), length 136
2026-08-28 06:55:58.495299 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1e), length 136
2026-08-28 06:55:58.495846 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x21), length 136
2026-08-28 06:55:58.511282 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x21), length 136
2026-08-28 06:55:58.655308 ARP, Reply 192.168.62.253 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:58.655356 ARP, Reply 192.168.62.42 is-at 08:00:27:62:10:10, length 28
2026-08-28 06:55:59.492972 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1f), length 136
2026-08-28 06:55:59.506966 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x1f), length 136
2026-08-28 06:55:59.507493 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x22), length 136
2026-08-28 06:55:59.522924 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x22), length 136
2026-08-28 06:56:00.495439 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x20), length 136
2026-08-28 06:56:00.498930 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x20), length 136
2026-08-28 06:56:00.499407 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x23), length 136
2026-08-28 06:56:00.506062 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x23), length 136
2026-08-28 06:56:00.720114 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x24), length 136
2026-08-28 06:56:00.721861 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x24), length 136
2026-08-28 06:56:00.722337 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x21), length 136
2026-08-28 06:56:00.730422 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x21), length 136
2026-08-28 06:56:01.722736 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x25), length 136
2026-08-28 06:56:01.726616 IP 192.168.62.42 > 192.168.62.253: ESP(spi=0x00008001,seq=0x25), length 136
2026-08-28 06:56:01.727077 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x22), length 136
2026-08-28 06:56:01.742586 IP 192.168.62.253 > 192.168.62.42: ESP(spi=0x00008002,seq=0x22), length 136
